Timestamp,ExtPressure (kPa),IntPressure (kPa),Temp (C),AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
19490,122.87,102.50,11.30,0.216,0.667,-0.717,-2.563,-2.136,10.498
19569,123.34,102.51,11.30,0.248,0.651,-0.707,-1.892,-1.648,6.958
19648,124.06,102.51,11.30,0.230,0.660,-0.707,-0.671,-3.662,8.118
19727,121.67,102.52,11.30,0.232,0.657,-0.712,-1.160,-4.089,6.836
19819,124.30,102.52,11.29,0.238,0.652,-0.712,1.892,2.075,3.357
19898,123.11,102.53,11.30,0.238,0.649,-0.721,3.662,2.197,1.892
19977,122.87,102.54,11.30,0.222,0.661,-0.709,1.587,-1.404,3.784
20056,123.11,102.54,11.30,0.235,0.674,-0.689,-0.061,-3.052,7.751
20135,123.58,102.54,11.29,0.222,0.692,-0.681,-2.197,-4.333,9.949
20214,123.34,102.53,11.30,0.247,0.729,-0.532,7.324,-10.315,12.878
20293,124.54,102.53,11.30,0.138,0.542,-0.916,25.696,-6.653,1.709
20373,121.91,102.49,11.30,0.241,0.665,-0.712,-2.319,-1.099,-9.277
20464,123.82,102.47,11.30,0.295,0.440,-0.732,-6.226,8.362,-11.475
20543,123.34,102.47,11.30,0.332,0.677,-0.590,4.395,-53.406,21.667
20622,123.58,102.47,11.31,0.256,0.775,-0.686,3.174,-0.732,-2.441
20701,122.63,102.47,11.30,0.226,0.657,-0.433,7.080,37.109,-39.490
20781,124.30,102.47,11.30,0.296,0.643,-0.655,6.042,4.211,-5.859
20860,123.82,102.47,11.30,0.246,0.631,-0.778,11.841,11.414,-2.197
20939,123.58,102.47,11.30,0.278,0.661,-0.719,1.587,4.028,-2.625
21018,123.11,102.47,11.30,0.193,0.675,-0.727,15.747,21.362,-12.329
21146,124.78,102.48,11.30,0.260,0.659,-0.689,4.700,-5.310,4.272
21237,124.78,102.48,11.30,0.281,0.667,-0.688,-0.488,-6.104,7.324
21328,124.78,102.49,11.31,0.289,0.681,-0.661,0.366,-6.165,3.052
21419,123.82,102.50,11.30,0.285,0.678,-0.656,-6.531,-3.296,6.287
21510,124.30,102.50,11.30,0.251,0.665,-0.692,-4.456,5.310,7.935
21601,122.87,102.50,11.30,0.251,0.677,-0.670,-6.104,-5.432,12.634
21692,122.63,102.50,11.30,0.277,0.657,-0.715,-0.366,-1.343,7.202
21783,123.58,102.50,11.31,0.231,0.674,-0.686,-3.479,1.221,-1.709
21887,124.54,102.50,11.31,0.239,0.666,-0.699,1.953,0.610,0.183
21977,124.78,102.50,11.31,0.258,0.669,-0.697,1.038,2.319,1.404
22068,121.91,102.50,11.30,0.271,0.670,-0.674,-5.859,-10.925,17.639
22159,124.78,102.51,11.30,0.167,0.668,-0.717,-3.113,-14.465,31.555
22250,124.30,102.51,11.30,0.209,0.691,-0.676,-1.099,5.188,-4.395
22341,121.43,102.48,11.31,0.204,0.685,-0.705,5.798,8.484,-18.127
22432,124.06,102.47,11.31,0.296,0.714,-0.676,-14.587,10.803,-11.108
22535,122.63,102.46,11.31,0.245,0.646,-0.714,-21.545,10.437,5.310
22626,121.91,102.46,11.30,0.152,0.736,-0.836,8.301,-18.494,52.429
22716,125.02,102.47,11.30,0.178,0.657,-0.659,11.963,-12.146,8.484
22807,124.78,102.47,11.31,0.318,0.678,-0.698,-6.775,6.348,-23.621
22898,122.39,102.47,11.30,0.238,0.630,-0.749,-9.949,8.606,8.362
22989,122.63,102.47,11.30,0.164,0.672,-0.707,-26.489,-2.258,2.747
23080,121.91,102.47,11.31,0.160,0.629,-0.842,-7.324,28.259,-50.415
23171,122.87,102.47,11.31,0.190,0.470,-0.763,-8.362,9.155,-8.728
23274,124.78,102.47,11.31,0.261,0.479,-1.057,-26.489,11.353,12.756
23365,123.58,102.47,11.31,0.317,0.632,-0.789,-41.748,13.184,-4.395
23456,125.26,102.48,11.31,0.194,0.441,-0.775,21.484,-4.211,-5.554
23547,123.58,102.48,11.31,0.173,0.378,-1.005,0.183,10.315,3.906
23637,122.15,102.48,11.30,0.109,0.480,-0.838,-7.446,23.621,7.690
23728,123.34,102.48,11.30,0.216,0.396,-0.789,18.311,14.709,-7.568
23819,122.87,102.47,11.30,0.146,0.270,-0.664,38.757,-15.137,-15.808
23910,122.15,102.47,11.31,0.232,0.254,-0.839,26.611,-8.179,-5.493
24013,123.58,102.47,11.31,0.266,0.373,-0.802,-41.321,-6.409,-30.762
24104,125.02,102.47,11.31,0.260,0.520,-0.933,-36.011,-10.681,-14.771
24195,121.91,102.48,11.30,0.306,0.439,-0.876,-14.404,-3.235,-8.362
24286,123.82,102.47,11.31,0.297,0.404,-0.834,-0.366,2.258,-10.803
24376,124.06,102.48,11.31,0.248,0.339,-0.928,8.972,11.353,-0.061
24467,125.26,102.48,11.30,0.327,0.321,-0.992,1.953,8.606,13.184
24558,124.06,102.48,11.31,0.473,0.558,-0.889,-16.907,-1.404,2.808
24661,122.63,102.48,11.31,0.315,0.303,-0.977,-4.150,-3.479,5.371
24752,123.58,102.48,11.31,0.288,0.241,-0.945,5.432,6.104,6.653
24843,124.78,102.48,11.30,0.234,0.295,-0.800,-8.057,-1.221,4.944
24933,123.58,102.48,11.31,0.360,0.335,-0.906,-3.784,-3.906,-3.601
25024,123.34,102.48,11.30,0.285,0.261,-0.854,-1.038,-3.784,2.625
25115,125.02,102.48,11.31,0.311,0.355,-0.985,1.648,-2.441,15.442
25206,124.06,102.48,11.31,0.301,0.319,-0.917,6.042,-0.183,4.089
25297,123.34,102.48,11.31,0.312,0.281,-0.961,5.432,1.038,2.625
25400,124.06,102.48,11.31,0.266,0.294,-0.874,9.521,1.099,0.427
25490,125.02,102.48,11.31,0.280,0.316,-0.866,8.179,-0.183,10.071
